PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

1010 EAST 178TH STREET

## TOTAL UNITS: 220

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2029280028 | 1 | M | 1525 FULTON AVENUE | 10457 | 3 | 15 | 32 | 79 | 16 | 2092128 |
| 2029280028 | 1 | M | 1531 FULTON AVENUE | 10457 | 3 | 15 | 32 | 79 | 16 | 2092128 |
| 2029280028 | 1 | M | 1535 FULTON AVENUE | 10457 | 3 | 15 | 32 | 79 | 16 | 2092128 |
| 2029280028 | 1 | M | 1545 FULTON AVENUE | 10457 | 3 | 15 | 32 | 79 | 16 | 2092128 |
| 2029280028 | 1 | M | 560 CLAREMONT PARKWAY | 10457 | 3 | 15 | 32 | 79 | 16 | 2092128 |
| 2029280028 | 1 | M | 550 CLAREMONT PARKWAY | 10457 | 3 | 15 | 32 | 79 | 16 | 2092128 |
| 2029280028 | 1 | M | 544 CLAREMONT PARKWAY | 10457 | 3 | 15 | 32 | 79 | 16 | 2092128 |
| 2029280028 | 2 | M | 3820 3RD AVENUE | 10457 | 3 | 15 | 32 | 79 | 16 | 2092127 |
| 2029280028 | 2 | M | 3812 3RD AVENUE | 10457 | 3 | 15 | 32 | 79 | 16 | 2092127 |
| 2029280028 | 2 | M | 3808 3RD AVENUE | 10457 | 3 | 15 | 32 | 79 | 16 | 2092127 |
| 2029280028 | 2 | M | 3804 3RD AVENUE | 10457 | 3 | 15 | 32 | 79 | 16 | 2092127 |
| 2029280028 | 2 | M | 3800 3RD AVENUE | 10457 | 3 | 15 | 32 | 79 | 16 | 2092127 |
| 2029310086 | 3 | M | 1325 FRANKLIN AVENUE | 10456 | 3 | 15 | 32 | 79 | 16 | 2009713 |
| 2029310086 | 3 |  | 1315 FRANKLIN AVENUE | 10456 | 3 | 15 | 32 | 79 | 16 | 2009713 |

CORSI HOUSES

| Borough:MANHATTAN                TOTAL UNITS:171            TDS # 199               TRANSFERRED DATE:    12/18/2025 : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 1016880045 | 1 | M | 306 EAST 117TH STREET | 10035 | 11 | 13 | 29 | 68 | 08 | 1079357 |
| 1016880045 | 1 |  | 307 EAST 116TH STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079357 |

## CROWN HEIGHTS

| BROOKLYN Borough: | 121 TOTAL UNITS: | 312 TDS # | TRANSFERRED DATE: | 11/28/2023 |
| --- | --- | --- | --- | --- |

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3013810013 | 1 | M | 1634 STERLING PLACE | 11233 | 8 | 09 | 20 | 55 | 41 | 3036910 |

Notes: BBL =BoroughBlockLot M = Residential Mailing Address

CD = Community District FC = Congressional District SS = State Senate District SA = State Assembly District CC = City Council District

---

PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

| 3013570068 | 2 | M | 1367 SAINT MARKS AVENUE | 11233 | 8 | 08 | 20 | 55 | 41 | 3035983 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3013570065 | 3 | M | 1371 SAINT MARKS AVENUE | 11233 | 8 | 08 | 20 | 55 | 41 | 3035982 |
| 3013690058 | 4 | M | 1629 PARK PLACE | 11233 | 8 | 09 | 20 | 55 | 41 | 3036364 |
| 3013750029 | 5 | M | 1630 PARK PLACE | 11233 | 8 | 09 | 20 | 55 | 41 | 3036636 |
| 3013750031 | 6 | M | 1636 PARK PLACE | 11233 | 8 | 09 | 20 | 55 | 41 | 3036637 |
| 3013750034 | 7 | M | 1640 PARK PLACE | 11233 | 8 | 09 | 20 | 55 | 41 | 3036638 |
| 3013750036 | 8 | M | 1646 PARK PLACE | 11233 | 8 | 09 | 20 | 55 | 41 | 3036639 |

## TOTAL UNITS: 175

## DAVIDSON

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2026800019 | 1 | M | 1150 UNION AVENUE | 10459 | 3 | 15 | 32 | 79 | 17 | 2005038 |
| 2026800019 | 1 |  | 1152 UNION AVENUE | 10459 | 3 | 15 | 32 | 79 | 17 | 2005038 |
| 2026800019 | 1 |  | 1221 PROSPECT AVENUE | 10459 | 3 | 15 | 32 | 79 | 17 | 2005038 |
| 2026800019 | 1 | M | 818 HOME STREET | 10459 | 3 | 15 | 32 | 79 | 17 | 2005038 |

## EAGLE AVENUE-EAST 163RD STREET

| Borough:BRONX                      TOTAL UNITS:66             TDS # 224               TRANSFERRED DATE:     9/28/2023 : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 2026200036 | 1 |  | 907 EAGLE AVENUE | 10456 | 3 | 15 | 32 | 79 
…[truncated]| 17 | 2004383 |
| 2026200036 | 1 | M | 905 EAGLE AVENUE | 10456 | 3 | 15 | 32 | 79 | 17 | 2004383 |

## EAST 180TH STREET-MONTEREY AVENUE

**Borough:** BRONX

| Borough:BRONX                      TOTAL UNITS:239            TDS # 208               TRANSFERRED DATE:     6/24/2025 : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 2030620021 | 1 |  | 2110 MONTEREY AVENUE | 10457 | 6 | 15 | 32 | 86 | 15 | 2011855 |
| 2030620021 | 1 | M | 2111 LAFONTAINE AVENUE | 10457 | 6 | 15 | 32 | 86 | 15 | 2011855 |
| 2030620021 | 1 |  | 2100 MONTEREY AVENUE | 10457 | 6 | 15 | 32 | 86 | 15 | 2011855 |
| 2030620021 | 1 |  | 2125 LAFONTAINE AVENUE | 10457 | 6 | 15 | 32 | 86 | 15 | 2011855 |
| 2030620021 | 1 |  | 554 EAST 181ST STREET | 10457 | 6 | 15 | 32 | 86 | 15 | 2011855 |
| 2030620021 | 1 |  | 2120 MONTEREY AVENUE | 10457 | 6 | 15 | 32 | 86 | 15 | 2011855 |
| 2030620021 | 1 | M | 558 EAST 181ST STREET | 10457 | 6 | 15 | 32 | 86 | 15 | 2011855 |
| 2030620021 | 1 |  | 560 EAST 181ST STREET | 10457 | 6 | 15 | 32 | 86 | 15 | 2011855 |
| 2030620006 | 2 |  | 2120 QUARRY ROAD | 10457 | 6 | 15 | 32 | 86 | 15 | 2011852 |

## EASTCHESTER GARDENS

## TOTAL UNITS: 877

**Borough:** BRONX

| 2045810002 |  |  | ADDRESS 1161 ADEE AVENUE | ZIP CODE 10469 | CD # 11 | FC # 15 | SS # 36 | SA # 83 | CC # 12 | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2045810001 | 1 | M | 1134 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093490 |
| 2045810001 | 1 |  | 1130 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093490 |
| 2045810001 | 1 | M | 1140 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093490 |
| 2045810001 | 10 | M | 3020 YATES AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093503 |
| 2045810001 | 10 |  | 3016 YATES AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093503 |
| 2045810001 | 10 | M | 3010 YATES AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093503 |
| 2045810001 | 2 | M | 1160 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093496 |
| 2045810001 | 2 |  | 1170 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093497 |
| 2045810001 | 2 | M | 1166 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093497 |
| 2045810001 | 3 | M | 1210 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093498 |
| 2045810001 | 3 | M | 1216 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093499 |
| 2045810001 | 3 |  | 1220 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093499 |
| 2045810001 | 4 |  | 1230 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093500 |

---

PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

| 2045810001 | 4 | M | 1236 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093500 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2045810001 | 4 | M | 1240 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093501 |
| 2045810001 | 4 |  | 1246 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093501 |
| 2045810001 | 5 | M | 1260 BURKE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093502 |
| 2045810001 | 6 | M | 3055 BOUCK AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093494 |
| 2045810001 | 7 | M | 1255 ADEE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093493 |
| 2045810001 | 8 | M | 1245 ADEE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093492 |
| 2045810001 | 9 |  | 1221 ADEE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093491 |
| 2045810001 | 9 | M | 1219 ADEE AVENUE | 10469 | 11 | 15 | 36 | 83 | 12 | 2093491 |

<u>EDENWALD</u>

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2049050001 |  |  | 1895 SCHIEFFELIN AVENUE |  | 12 | 16 | 36 | 83 | 12 12 |  |
| 2049050001 | 1 | M | 1180 GRENADA PLACE | 10466 | 12 | 16 | 36 | 83 83 | 12 | 2093739 2093739 |
| 2049050001 | 1 | M | 1186 GRENADA PLACE | 10466 | 12 | 16 | 36 |  |  |  |
| 2049050001 | 10 | M | 1166 GRENADA PLACE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094149 |
| 2049050001 2049050001 | 10 11 | M | 1160 GRENADA PLACE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094149 |
|  | 11 | M M | 1137 229TH DRIVE NORTH 1139 229TH DRIVE NORTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094143 |
| 2049050001 2049050001 | 12 | M | 1125 229TH DRIVE NORTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094143 |
| 2049050001 | 12 | M | 1127 229TH DRIVE NORTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094148 |
|  | 13 | M | 1107 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094148 |
| 2049050001 | 13 | M | 1111 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094146 |
| 2049050001 | 14 | M |  | 10466 | 12 | 16 | 36 | 83 | 12 | 2094146 |
| 2049050001 | 14 |  | 1135 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094147 |
| 2049050001 | 15 | M | 1126 229TH DRIVE NORTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094147 |
| 2049050001 | 16 |  | 1141 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094151 |
| 2049050001 | 16 | M | 1145 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094152 |
| 2049050001 | 16 |  | 1151 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094152 |
| 2049050001 |  |  | 1146 229TH DRIVE NORTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094152 |
| 2049050001 | 17 | M | 1165 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094153 |
| 2049050001 | 18 | M | 1175 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094154 |
| 2049050001 | 19 | M | 1189 229TH DRIVE NORTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094155 |
| 2049050001 | 19 | M | 1195 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094155 |
| 2049050001 | 2 | M | 3881 BAYCHESTER AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094142 |
| 2049050001 | 2 | M | 3885 BAYCHESTER AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094142 |
| 2049050003 | 20 | M | 1170 229TH DRIVE SOUTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094150 |
| 2049050003 | 21 | M | 1153 229TH DRIVE SOUTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094157 |
| 2049050003 | 21 |  | 1135 229TH DRIVE SOUTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094157 |
| 2049050003 | 21 | M | 1155 229TH DRIVE SOUTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094157 |
| 2049050003 | 22 |  | 1130 229TH DRIVE SOUTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094156 |
| 2049050003 | 22 | M | 1132 229TH DRIVE SOUTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094156 |
| 2049050003 | 23 | M | 1128 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094158 |
| 2049050003 | 23 | M | 1120 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094158 |
| 2049050003 | 24 | M | 4044 LACONIA AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094161 |
| 2049050003 | 24 | M | 4040 LACONIA AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094161 |
| 2049050003 | 25 | M | 4056 LACONIA AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094162 |
| 2049050003 | 25 | M | 4064 LACONIA AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094162 |
| 2049050003 | 26 | M | 4020 LACONIA AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094159 |
| 2049050003 | 26 | M | 4024 LACONIA AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094159 |
| 2049050003 | 27 | M | 4034 LACONIA AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094160 |
| 2049050003 | 27 | M | 4030 LACONIA AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094160 |
| 2049050003 | 28 | M | 1138 229TH DRIVE SOUTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2097991 |
| 2049050003 | 29 | M | 1154 229TH DRIVE SOUTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094168 |
| 2049050001 | 3 | M | 3861 BAYCHESTER AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094141 |

---

PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

| 2049050001 | 3 | M | 3865 BAYCHESTER AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094141 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2049050003 | 30 | M | 1160 229TH DRIVE SOUTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094169 |
| 2049050003 | 31 | M M | 1187 226TH DRIVE 1183 226TH DRIVE | 10466 | 12 12 | 16 | 36 36 | 83 | 12 | 2094166 |
| 2049050003 | 31 32 | M | 1169 226TH DRIVE | 10466 | 12 | 16 16 | 36 | 83 83 | 12 12 | 2094166 |
| 2049050003 | 32 | M | 1165 226TH DRIVE | 10466 | 12 | 16 |  |  |  | 2094165 |
| 2049050003 2049050003 | 33 | M | 1145 226TH DRIVE | 10466 | 12 | 16 | 36 36 | 83 83 | 12 | 2094165 |
| 2049050003 | 33 |  | 1151 226TH DRIVE | 10466 | 12 | 16 |  | 83 | 12 | 2094164 |
| 2049050003 | 33 | M | 1141 226TH DRIVE | 10466 | 12 |  | 36 |  | 12 | 2094164 |
| 2049050003 | 34 | M | 1131 226TH DRIVE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094164 |
| 2049050003 | 34 | M | 1135 226TH DRIVE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094163 |
|  |  | M | 4000 LACONIA AVENUE | 10466 |  | 16 | 36 | 83 | 12 | 2094163 |
| 2049050003 | 35 | M | 4010 LACONIA AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094171 |
| 2049050003 | 35 | M | 1115 EAST 225TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094171 |
| 2049050003 | 36 | M | 1121 EAST 225TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094172 |
| 2049050003 | 36 |  | 1138 226TH DRIVE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094172 |
| 2049050003 | 37 | M |  | 10466 | 12 | 16 | 36 | 83 | 12 | 2094173 |
| 2049050003 | 37 | M | 1130 226TH DRIVE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094173 |
| 2049050003 | 38 | M | 1155 EAST 225TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094176 |
| 2049050003 | 38 | M | 1161 EAST 225TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094176 |
| 2049050003 | 39 | M | 1181 EAST 225TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094177 |
| 2049050003 | 39 | M | 1175 EAST 225TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094177 |
| 2049050001 | 4 | M | 3841 BAYCHESTER AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094140 |
| 2049050001 | 4 | M | 3845 BAYCHESTER AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094140 |
| 2049050003 | 40 | M | 1195 EAST 225TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094174 |
| 2049050003 | 40 | M | 1855 SCHIEFFELIN AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094174 |
| 2049050003 | 41 |  | 1140 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094178 |
| 2049050003 | 41 |  | 1150 EAST 229TH STREET | 10466 | 12 | 16 | 36 | 83 | 12 | 2094178 |
| 2049050001 | 42 |  | 1149GAR 229TH DRIVE NORTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2112989 |
| 2049050001 | 5 | M | 1981 SCHIEFFELIN AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094138 |
| 2049050001 | 5 | M | 1985 SCHIEFFELIN AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094138 |
| 2049050001 | 6 | M | 1961 SCHIEFFELIN AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094137 |
| 2049050001 | 6 | M | 1965 SCHIEFFELIN AVENUE | 10466 | 12 | 16 | 36 | 83 | 12 | 2094137 |
| 2049050001 | 7 | M | 1173 229TH DRIVE NORTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094139 |
| 2049050001 | 8 | M | 1159 229TH DRIVE NORTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094145 |
| 2049050001 | 8 |  | 1161 229TH DRIVE NORTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094145 |
| 2049050001 | 9 | M | 1147 229TH DRIVE NORTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094144 |
| 2049050001 | 9 | M | 1149 229TH DRIVE NORTH | 10466 | 12 | 16 | 36 | 83 | 12 | 2094144 |

<u>FENIMORE-LEFFERTS</u>

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3048180136 | 1 | M | 752 FENIMORE STREET | 11203 | 9 | 09 | 20 | 43 | 40 | 3107388 |
| 3048180027 | 10 | M | 730 FENIMORE STREET | 11203 | 9 | 09 | 20 | 43 | 40 | 3107349 |
| 3048180026 | 11 | M | 728 FENIMORE STREET | 11203 | 9 | 09 | 20 | 43 | 40 | 3107348 |
| 3048180025 | 12 | M | 726 FENIMORE STREET | 11203 | 9 | 09 | 20 | 43 | 40 | 3107347 |
| 3013300007 | 13 | M | 334 LEFFERTS AVENUE | 11225 | 9 | 09 | 20 | 43 | 40 | 3035394 |
| 3013300008 | 14 | M | 336 LEFFERTS AVENUE | 11225 | 9 | 09 | 20 | 43 | 40 | 3035395 |
| 3013300009 | 15 | M | 338 LEFFERTS AVENUE | 11225 | 9 | 09 | 20 | 43 | 40 | 3035396 |
| 3013300010 | 16 | M | 340 LEFFERTS AVENUE | 11225 | 9 | 09 | 20 | 43 | 40 | 3035397 |
| 3013300011 | 17 | M | 342 LEFFERTS AVENUE | 11225 | 9 | 09 | 20 | 43 | 40 | 3035398 |
| 3013300012 | 18 | M | 344 LEFFERTS AVENUE | 11225 | 9 | 09 | 20 | 43 | 40 | 3035399 |
| 3048180135 | 2 | M | 750 FENIMORE STREET | 11203 | 9 | 09 | 20 | 43 | 40 | 3107387 |
| 3048180134 | 3 | M | 748 FENIMORE STREET | 11203 | 9 | 09 | 20 | 43 | 40 | 3107386 |
| 3048180133 | 4 | M | 746 FENIMORE STREET | 11203 | 9 | 09 | 20 | 43 | 40 | 3107385 |
| 3048180033 | 5 | M | 742 FENIMORE STREET | 11203 | 9 | 09 | 20 | 43 | 40 | 3107354 |

---

## PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

| 3048180031 | 6 | M | 740 FENIMORE STREET | 11203 | 9 | 09 | 20 | 43 | 40 | 3107353 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3048180030 | 7 | M | 738 FENIMORE STREET | 11203 | 9 | 09 | 20 | 43 | 40 | 3107352 |
| 3048180029 | 8 | M | 736 FENIMORE STREET | 11203 | 9 | 09 | 20 | 43 | 40 | 3107351 |
| 3048180028 | 9 | M | 732 FENIMORE STREET | 11203 | 9 | 09 | 20 | 43 | 40 | 3107350 |

## TOTAL UNITS: 160

FIORENTINO PLAZA

**Borough:** BROOKLYN

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3037240027 |  |  | 260 BRADFORD STREET | 11207 | 5 | 08 | 19 | 54 | 42 | 3000000 |
| 3037250001 | 10 | M | 320 MILLER AVENUE | 11207 | 5 | 08 | 19 | 54 | 42 | 3327009 |
| 3039930001 | 11 | M | 2211 PITKIN AVENUE | 11207 | 5 | 08 | 19 | 54 | 42 | 3328463 |
| 3039930001 | 12 | M | 2215 PITKIN AVENUE | 11207 | 5 | 08 | 19 | 54 | 42 | 3328464 |
| 3039930001 | 13 | M | 2221 PITKIN AVENUE | 11207 | 5 | 08 | 19 | 54 | 42 | 3328465 |
| 3039930001 | 13 | M | 2219 PITKIN AVENUE | 11207 | 5 | 08 | 19 | 54 | 42 | 3328465 |
| 3037240029 | 6 | M | 2155 PITKIN AVENUE | 11207 | 5 | 08 | 19 | 54 | 42 | 3336980 |
| 3037240029 | 7 | M | 2165 PITKIN AVENUE | 11207 | 5 | 08 | 19 | 54 | 42 | 3336981 |
| 3037250001 | 8 |  | 2185 PITKIN AVENUE | 11207 | 5 | 08 | 19 | 54 | 42 | 3327012 |
| 3037250001 | 8 | M | 2189 PITKIN AVENUE | 11207 | 5 | 08 | 19 | 54 | 42 | 3327012 |
| 3037250001 | 8 | M | 2181 PITKIN AVENUE | 11207 | 5 | 08 | 19 | 54 | 42 | 3327012 |
| 3037250001 | 9 |  | 330 MILLER AVENUE | 11207 | 5 | 08 | 19 | 54 | 42 | 3327011 |
| 3037250001 | 9 | M | 340 MILLER AVENUE | 11207 | 5 | 08 | 19 | 54 | 42 | 3327011 |

FORT INDEPENDENCE STREET-HEATH AVENUE

## TOTAL UNITS: 344

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2032610102 | 1 | M | 3340 BAILEY AVENUE | 10463 | 8 | 13 | 31 | 81 | 14 | 2086835 |
| 2032610102 | 1 |  | 3350 BAILEY AVENUE | 10463 | 8 | 13 | 31 | 81 | 14 | 2086835 |
| 2032610102 | 1 | M | 3353 FORT INDEPENDENCE STREET | 10463 | 8 | 13 | 31 | 81 | 14 | 2086835 |
| 2032610102 | 1 |  | 3355 FORT INDEPENDENCE STREET | 10463 | 8 | 13 | 31 | 81 | 14 | 2086835 |

FORT WASHINGTON AVENUE REHAB

| Borough:MANHATTAN                TOTAL UNITS:226            TDS # 309               TRANSFERRED DATE:    11/30/2020 : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 1021360235 | 1 | M | 99 FORT WASHINGTON AVENUE | 10032 | 12 | 13 | 31 | 71 | 10 | 1063346 |
| 1021360235 | 1 | M | 99 FORT WASHINGTON AVENUE | 10032 | 12 | 13 | 31 | 71 | 10 | 1063346 |

FRANKLIN AVENUE I CONVENTIONAL

## TOTAL UNITS: 61

**Borough:** BRONX

| : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 2029310070 | 10 | M | 1373 FRANKLIN AVENUE | 10456 | 3 | 15 | 32 | 79 | 16 | 2009707 |
| 2029310070 | 10 |  | 1375 FRANKLIN AVENUE | 10456 | 3 | 15 | 32 | 79 | 16 | 2009707 |
| 2029310066 | 8 |  | 1383 FRANKLIN AVENUE | 10456 | 3 | 15 | 32 | 79 | 16 | 2009705 |
| 2029310066 | 8 | M | 1381 FRANKLIN AVENUE | 10456 | 3 | 15 | 32 | 79 | 16 | 2009705 |
| 2029310068 | 9 |  | 1379 FRANKLIN AVENUE | 10456 | 3 | 15 | 32 | 79 | 16 | 2009706 |
| 2029310068 | 9 | M | 1377 FRANKLIN AVENUE | 10456 | 3 | 15 | 32 | 79 | 16 | 2009706 |

## FRANKLIN AVENUE II CONVENTIONAL

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2029310064 |  |  | 1385 FRANKLIN AVENUE | 10456 | 3 | 15 | 32 | 79 | 16 |  |
| 2029350007 | 4 | M | 1394 FRANKLIN AVENUE | 10456 | 3 | 15 | 32 | 79 | 17 | 2009767 |

Notes: BBL =BoroughBlockLot M = Residential Mailing Address

---

