PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

1010 EAST 178TH STREET

## TOTAL UNITS: 220

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 3018020051 |  | M | 254 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 57 | 36 | 3399677 |
| 3018020044 | 12 |  | 252A LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 57 | 36 | 3050587 |
| 3018020044 |  | M | 252 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 57 | 36 | 3050587 |
| 3018020043 |  | M | 250 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 57 | 36 | 3050586 |
| 3017940121 |  | M | 366 CLIFTON PLACE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322159 |
| 3017940121 |  | M | 380 CLIFTON PLACE | 11216 | 3 |  | 25 |  | 36 | 3322159 |
| 3017940139 |  | M | 388 CLIFTON PLACE | 11216 | 3 | 08 | 25 | 56 |  | 3322161 |
| 3017940139 |  | M | 396 CLIFTON PLACE | 11216 | 3 | 08 | 25 | 56 |  |  |
| 3017940054 |  | M | 545 GREENE AVENUE | 11216 | 3 | 08 | 25 | 56 |  |  |
| 3017940054 |  | M | 555 GREENE AVENUE | 11216 | 3 | 08 | 25 | 56 |  | 3322152 |
| 3018030124 |  | M | 304 LEXINGTON AVENUE | 11216 |  | 08 | 25 | 56 | 36 | 3397846 |
|  |  | M | 302 LEXINGTON AVENUE |  | 3 | 08 |  | 56 | 36 | 3050667 |
| 3018030123 | 5 | M | 300 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050666 |
| 3018030122 |  | M | 298 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050665 |
| 3018030121 |  | M | 296 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050664 |
| 3018030120 | 5 | M | 294 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050663 |
| 3018030119 | 5 | M | 292 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050662 |
| 3018030118 |  | M | 290 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050661 |
| 3018030117 |  | M |  | 11216 | 3 | 08 | 25 | 56 | 36 | 3050660 |
